time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-06-03T22:33:31.300Z,44.8155,-110.75,6.7,2,Ml,,255.6,0.08084838,0.09,uu,uu60071617,2014-06-04T18:22:01.436Z,"18 km SSW of Mammoth, Wyoming",earthquake,1.4,0.7,0.3,4,reviewed,uu,uu
2014-06-03T22:05:13.000Z,44.7713,-110.7808,2.2,1,Md,,198,0.05389892,0.2,uu,uu60005165,2014-06-03T22:26:16.945Z,"23 km SSW of Mammoth, Wyoming",earthquake,3.2,31.6,0,2,reviewed,uu,uu
2014-06-03T22:04:50.800Z,44.8002,-110.763,4.6,2.1,Ml,,212.4,0.06288207,0.15,uu,uu60071607,2014-06-11T14:58:22.143Z,"20 km SSW of Mammoth, Wyoming",earthquake,1,0.6,0.4,4,reviewed,uu,uu
2014-06-03T21:27:10.200Z,44.7853,-110.7547,3.2,0.9,Ml,,230.4,0.07186522,0.07,uu,uu60071582,2014-06-09T15:09:34.719Z,"21 km S of Mammoth, Wyoming",earthquake,1.3,5.9,0.4,2,reviewed,uu,uu
2014-06-03T20:35:55.800Z,44.7985,-110.7718,3.7,1.4,Md,,212.4,0.05389892,0.18,uu,uu60071557,2014-06-03T21:32:11.488Z,"Wyoming",earthquake,1.4,1.2,0.2,3,reviewed,uu,uu
2014-06-03T20:26:07.300Z,44.7598,-110.8265,1.4,1.2,Md,,140.4,0.03593261,0.1,uu,uu60071552,2014-06-09T14:59:14.611Z,"24 km ENE of West Yellowstone, Montana",earthquake,0.9,0.5,0.5,4,reviewed,uu,uu
2014-06-03T20:17:24.200Z,44.8582,-110.7325,9.4,0.9,Md,,288,0.10779783,0.07,uu,uu60071547,2014-06-09T14:57:38.586Z,"13 km S of Mammoth, Wyoming",earthquake,3.4,1.8,0,3,reviewed,uu,uu
2014-06-03T20:12:21.000Z,44.7913,-110.7632,2.1,1.2,Md,,237.6,0.06288207,0.13,uu,uu60071542,2014-06-09T14:56:33.564Z,"21 km SSW of Mammoth, Wyoming",earthquake,1.4,31.6,0.4,3,reviewed,uu,uu
2014-06-03T19:42:18.600Z,44.787,-110.7592,4.2,1.6,Ml,,198,0.06288207,0.16,uu,uu60071532,2014-06-03T22:12:51.792Z,"Wyoming",earthquake,0.6,0.9,0.4,2,reviewed,uu,uu
2014-06-03T19:08:50.000Z,44.7932,-110.7527,6.5,2.2,Ml,,205.2,0.07186522,0.12,uu,uu60071527,2014-06-04T18:15:21.375Z,"20 km S of Mammoth, Wyoming",earthquake,0.7,0.9,0.5,4,reviewed,uu,uu
2014-06-03T18:49:38.300Z,44.8207,-110.752,6.9,1.6,Ml,,255.6,0.08084838,0.13,uu,uu60071512,2014-06-09T17:38:57.060Z,"17 km SSW of Mammoth, Wyoming",earthquake,2,1.2,0.3,2,reviewed,uu,uu
2014-06-03T18:49:17.200Z,44.8193,-110.7427,6.2,0.9,Md,,255.6,0.08084838,0.07,uu,uu60005290,2014-06-09T17:44:07.112Z,"17 km S of Mammoth, Wyoming",earthquake,1.3,1.5,0.3,3,reviewed,uu,uu
2014-06-03T18:42:25.100Z,44.7862,-110.7658,2.5,0.9,Ml,,226.8,0.06288207,0.09,uu,uu60071507,2014-06-09T17:31:41.996Z,"21 km SSW of Mammoth, Wyoming",earthquake,1,6.4,0.4,2,reviewed,uu,uu
2014-06-03T17:33:07.800Z,44.7895,-110.7528,4.7,1.2,Ml,,234,0.07186522,0.07,uu,uu60071502,2014-06-09T17:26:36.949Z,"21 km S of Mammoth, Wyoming",earthquake,2,1.4,0.5,2,reviewed,uu,uu
2014-06-03T16:34:20.100Z,44.8023,-110.7545,7.8,1.7,Ml,,248.4,0.07186522,0.06,uu,uu60071487,2014-06-04T18:06:36.288Z,"19 km SSW of Mammoth, Wyoming",earthquake,0.8,0.7,0.4,2,reviewed,uu,uu
2014-06-03T16:09:42.100Z,44.7912,-110.7505,4.5,1,Ml,,237.6,0.07186522,0.03,uu,uu60071482,2014-06-09T17:08:36.821Z,"20 km S of Mammoth, Wyoming",earthquake,1.4,0.6,0.4,2,reviewed,uu,uu
