Evid,EqLat,EqLon,EqDepSL,EqOt,CatMag,CatMagType,Date,Event-Mean-YPML,Event-Median-YPML,Event-Mean-YPML-S,Event-Median-YPML-S
60003345.0,44.747,-110.7841667,5.4,1393741770.6799984,1.27,l,2014-03-02 06:29:30.679998+00:00,0.7396075173260483,0.7396075173260483,0.7976146204760484,0.7976146204760484
60003505.0,44.5305,-110.8365,2.06,1394506645.7799988,0.65,l,2014-03-11 02:57:25.779999+00:00,0.4093828544111562,0.4093828544111562,0.4506271403611562,0.4506271403611562
60003580.0,44.8073333,-110.7703333,4.26,1395417088.3499985,1.86,l,2014-03-21 15:51:28.349998+00:00,1.8131858137750103,1.8131858137750103,1.79214927557501,1.79214927557501
60003625.0,44.8096667,-110.7698333,3.73,1395477879.3899994,1.6,l,2014-03-22 08:44:39.389999+00:00,0.9371050662866808,0.9371050662866808,0.9660703890866807,0.9660703890866807
60003632.0,44.6495,-111.1541667,7.75,1351857092.4099998,0.79,l,2012-11-02 11:51:32.410000+00:00,0.7920229971801438,0.7920229971801438,0.7691532227301439,0.7691532227301439
60003635.0,44.6003333,-110.5246667,10.67,1395499325.13,1.42,l,2014-03-22 14:42:05.130000+00:00,1.0703489357372806,1.0350448510530017,1.083350069903947,1.0948851904530017
60003715.0,44.7733333,-110.7206667,4.18,1396187711.8000002,1.68,l,2014-03-30 13:55:11.800000+00:00,0.9107425038785604,0.9107425038785604,0.9397078266785602,0.9397078266785602
60003742.0,44.604,-110.6571667,4.95,1351956060.26,0.97,l,2012-11-03 15:21:00.260000+00:00,0.7392327655287675,0.7395537374661529,0.8143377935287676,0.7993940768661529
60003755.0,44.7498333,-110.6915,1.99,1396177392.5999994,2.33,l,2014-03-30 11:03:12.599999+00:00,2.005285385487669,1.9629801774034463,2.0348963590376696,1.9919455002034463
60003770.0,44.7523333,-110.688,3.38,1396184640.93,1.97,l,2014-03-30 13:04:00.930000+00:00,1.3042781167420965,1.3443509489912384,1.3423129542420964,1.4041912883912384
60003805.0,44.7698333,-110.6981667,2.29,1396186091.8199997,1.13,l,2014-03-30 13:28:11.820000+00:00,0.9490041655181874,0.9490041655181874,0.8970926107181875,0.8970926107181875
60003810.0,44.7743333,-110.6915,3.71,1396186082.06,1.38,l,2014-03-30 13:28:02.060000+00:00,0.9786126693869808,0.95946984885895,0.963951745986981,0.9921496842678782
60003835.0,44.7621667,-110.7273333,2.61,1396186424.3099976,2.44,l,2014-03-30 13:33:44.309998+00:00,2.1645786128903386,2.123811356332346,2.1941895864403382,2.1480553023819287
60003845.0,44.7626667,-110.7193333,3.59,1396186411.9499989,0.75,l,2014-03-30 13:33:31.949999+00:00,0.5480493454725517,0.5480493454725517,0.5270128072725516,0.5270128072725516
60003920.0,44.7766667,-110.6836667,4.18,1396189263.83,2.61,l,2014-03-30 14:21:03.830000+00:00,2.354312877235548,2.422964370105836,2.383923850785548,2.4147009606117367
60003970.0,44.7641667,-110.6811667,2.5,1396184403.25,1.81,l,2014-03-30 13:00:03.250000+00:00,1.3344429903149893,1.4037458813933208,1.3197820669149891,1.307281708713591
60003985.0,44.7691667,-110.7323333,2.01,1396190047.77,1.86,l,2014-03-30 14:34:07.770000+00:00,1.2691127204811568,1.3610146396677263,1.307147557981157,1.3591049458677262
60003990.0,44.7601667,-110.6876667,3.85,1396190441.540001,2.21,l,2014-03-30 14:40:41.540001+00:00,1.3356873108386609,1.3356873108386609,1.3646526336386606,1.3646526336386606
60003995.0,44.7805,-110.7218333,3.48,1396192344.33,3.66,l,2014-03-30 15:12:24.330000+00:00,3.357627786424441,3.3250834027465945,3.3872387599744407,3.316781744651468
60004027.0,44.5266667,-110.9371667,5.96,1352261379.6599998,0.75,l,2012-11-07 04:09:39.660000+00:00,0.6913497803233881,0.6913497803233881,0.7325940662733882,0.7325940662733882
60004067.0,44.7295,-111.077,10.5,1352305418.5699997,0.9,l,2012-11-07 16:23:38.570000+00:00,0.9249076175019872,0.9249076175019872,0.9020378430519872,0.9020378430519872
60004070.0,44.797,-110.6981667,1.96,1396192937.3599987,1.97,l,2014-03-30 15:22:17.359999+00:00,1.4305836716969322,1.4305836716969322,1.4885907748469325,1.4885907748469325
60004105.0,44.7505,-110.7013333,3.13,1396198554.209999,1.61,l,2014-03-30 16:55:54.209999+00:00,0.7267117403322517,0.7267117403322517,0.7556770631322518,0.7556770631322518
60004140.0,44.7,-110.7006667,5.23,1396320200.08,1.54,l,2014-04-01 02:43:20.080000+00:00,1.5546089991884142,1.621096290688801,1.5845427981134144,1.5606759612388008
60004160.0,44.7588333,-110.6563333,3.85,1396320571.4499989,1.89,l,2014-04-01 02:49:31.449999+00:00,1.715008299065844,1.6638968062623212,1.738573399445844,1.6619871124623211
60004175.0,44.7343333,-110.766,2.21,1396376938.6599998,2.0,l,2014-04-01 18:28:58.660000+00:00,1.7210912101876197,1.7573616975571351,1.7257914736876196,1.6554482817571354
60004367.0,44.768,-111.1711667,8.06,1352528312.880001,1.14,l,2012-11-10 06:18:32.880001+00:00,1.080025526839198,1.080025526839198,1.057155752389198,1.057155752389198
60004382.0,44.4343333,-111.0111667,3.31,1352544148.3499985,1.58,l,2012-11-10 10:42:28.349998+00:00,1.4793854764546064,1.4572863608283777,1.52682844688794,1.5171267002283777
60004385.0,44.7423333,-110.7691667,7.18,1396750612.9199982,1.72,l,2014-04-06 02:16:52.919998+00:00,1.4423474438511967,1.4616030541986909,1.4816660607311969,1.3714122611642392
60004390.0,44.7203333,-110.7856667,4.09,1396750619.869999,1.66,l,2014-04-06 02:16:59.869999+00:00,1.582479550196898,1.535367858302177,1.6287003631302313,1.4334544425021771
60004462.0,44.8055,-110.7976667,8.17,1352613942.579998,2.02,l,2012-11-11 06:05:42.579998+00:00,1.891468205822956,1.9009531990390307,1.894515979997956,1.8799166608390308
60004472.0,44.8041667,-110.7965,8.1,1352614137.0099983,1.53,l,2012-11-11 06:08:57.009998+00:00,1.5159016945994177,1.530476792350992,1.5206019580994177,1.428563376550992
60004517.0,44.2546667,-110.6556667,7.68,1352684200.239998,1.71,l,2012-11-12 01:36:40.239998+00:00,1.575020103028484,1.575020103028484,1.697141266578484,1.697141266578484
60004542.0,44.2561667,-110.6561667,8.31,1352690672.9199982,1.83,l,2012-11-12 03:24:32.919998+00:00,1.7348158336360795,1.7351817747044382,1.80992086163608,1.7950221141044382
60004552.0,44.2563333,-110.6556667,7.8,1352691901.38,2.01,l,2012-11-12 03:45:01.380000+00:00,2.07141078396217,2.074117129910895,2.10226120101217,2.0476678998134448
60004627.0,44.633,-110.3406667,4.98,1352741676.079998,1.43,l,2012-11-12 17:34:36.079998+00:00,0.904562104694754,0.9246376957943372,0.9175632388614208,0.9844780351943372
60004727.0,44.508,-110.5923333,5.76,1352815251.0999985,1.24,l,2012-11-13 14:00:51.099998+00:00,1.0984858387676597,1.1329670974102624,1.1227842336476594,1.1193131902389706
60004940.0,44.7785,-110.7741667,9.0,1400776336.8899994,1.9,l,2014-05-22 16:32:16.889999+00:00,1.7631771321407237,1.7502518087573489,1.7927881056907238,1.771472493666706
60004952.0,44.366,-110.905,9.67,1352960023.619999,0.85,l,2012-11-15 06:13:43.619999+00:00,0.8804351515074769,0.8804351515074769,0.9216794374574768,0.9216794374574768
60005025.0,44.5846667,-110.7473333,8.65,1401333403.3199997,1.85,l,2014-05-29 03:16:43.320000+00:00,1.7263733625800244,1.7645907570732575,1.7559843361300242,1.7729015667459485
60005030.0,44.5891667,-110.7336667,7.71,1401334575.79,2.08,l,2014-05-29 03:36:15.790000+00:00,1.9672685936349643,1.981580360434319,2.006587210514964,2.041265297709074
60005037.0,44.7323333,-111.111,10.51,1353017243.0599997,1.1,l,2012-11-15 22:07:23.060000+00:00,1.0019107838002068,1.04596162467436,1.0066110473002068,0.94404820887436
60005047.0,44.7305,-111.1056667,9.51,1353019442.5,0.77,l,2012-11-15 22:44:02.500000+00:00,0.7393030819880815,0.7393030819880815,0.7164333075380815,0.7164333075380815
60005097.0,44.739,-111.0976667,7.61,1353042739.7999992,0.53,l,2012-11-16 05:12:19.799999+00:00,0.3564124780158623,0.3564124780158623,0.3335427035658622,0.3335427035658622
60005102.0,44.7463333,-111.1308333,12.57,1353043731.039997,1.18,l,2012-11-16 05:28:51.039997+00:00,1.3504570296284395,1.3504570296284395,1.3275872551784396,1.3275872551784396
60005110.0,44.7923333,-110.767,4.06,1401575097.9099998,2.11,l,2014-05-31 22:24:57.910000+00:00,1.635370155090143,1.635370155090143,1.693377258240143,1.693377258240143
60005115.0,44.7841667,-110.7675,4.62,1401740385.8400002,2.32,l,2014-06-02 20:19:45.840000+00:00,2.3063159844700465,2.3063159844700465,2.2544044296700463,2.2544044296700463
60005122.0,44.7361667,-111.1001667,10.33,1353055770.9299984,0.58,l,2012-11-16 08:49:30.929998+00:00,0.5515814784317827,0.5515814784317827,0.5287117039817827,0.5287117039817827
60005125.0,44.7913333,-110.7623333,4.3,1401600554.9499998,1.46,l,2014-06-01 05:29:14.950000+00:00,1.471830690984838,1.5939996203615756,1.5180515039181717,1.4920862045615757
60005170.0,44.8003333,-110.7556667,4.75,1401788782.8099997,1.12,l,2014-06-03 09:46:22.810000+00:00,1.285184225199022,1.285184225199022,1.262314450749022,1.262314450749022
60005175.0,44.7828333,-110.7638333,3.74,1401790867.94,2.16,l,2014-06-03 10:21:07.940000+00:00,2.0645956712628424,2.155707755656165,2.0487125903628427,2.089734853124891
60005180.0,44.7906667,-110.7645,4.88,1401792918.33,1.05,l,2014-06-03 10:55:18.330000+00:00,1.1765890541012525,1.1765890541012525,1.1537192796512523,1.1537192796512523
60005185.0,44.8161667,-110.7531667,7.97,1401792949.619999,0.84,l,2014-06-03 10:55:49.619999+00:00,0.9778057903694736,0.9778057903694736,0.9549360159194736,0.9549360159194736
60005225.0,44.8118333,-110.7573333,5.98,1401894225.789997,1.41,l,2014-06-04 15:03:45.789997+00:00,1.5079221109465646,1.5079221109465646,1.4850523364965649,1.4850523364965649
60005245.0,44.7913333,-110.7705,4.65,1401790012.3799973,1.25,l,2014-06-03 10:06:52.379997+00:00,1.369860334143368,1.369860334143368,1.346990559693368,1.346990559693368
60005285.0,44.7901667,-110.7671667,4.8,1401792763.1100006,1.1,l,2014-06-03 10:52:43.110001+00:00,1.2232733774191296,1.2232733774191296,1.2004036029691298,1.2004036029691298
